Ad,#Pass,#Watch,WPR_c,WPR_d,Category,Sub-category,Media,Text-percentage,Color-scheme
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,1,0,0,1,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,1,0,0,1,announcement,welcome,picture,0.1,colorized
A1,2,1,0.5,3,announcement,welcome,picture,0.1,colorized
A1,1,0,0,1,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,1,0,0,1,announcement,welcome,picture,0.1,colorized
A1,2,1,0.5,3,announcement,welcome,picture,0.1,colorized
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,5,1,0.2,1,announcement,welcome,picture,0.1,colorized
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,1,,0,1,announcement,welcome,picture,0.1,colorized
A1,1,1,1,5,announcement,welcome,picture,0.1,colorized
A1,4,1,0.25,2,announcement,welcome,picture,0.1,colorized
A10,2,1,0.5,3,announcement,prize,picture,0.5,green
A10,2,,0,1,announcement,prize,picture,0.5,green
A10,1,,0,1,announcement,prize,picture,0.5,green
A10,1,0,0,1,announcement,prize,picture,0.5,green
A10,1,1,1,5,announcement,prize,picture,0.5,green
A10,1,0,0,1,announcement,prize,picture,0.5,green
A10,1,1,1,5,announcement,prize,picture,0.5,green
A10,1,,0,1,announcement,prize,picture,0.5,green
A10,1,1,1,5,announcement,prize,picture,0.5,green
A10,6,1,0.166666667,1,announcement,prize,picture,0.5,green
A10,1,1,1,5,announcement,prize,picture,0.5,green
A10,1,,0,1,announcement,prize,picture,0.5,green
A10,1,,0,1,announcement,prize,picture,0.5,green
A10,2,1,0.5,3,announcement,prize,picture,0.5,green
A10,2,1,0.5,3,announcement,prize,picture,0.5,green
A11,2,,0,1,announcement,prize,picture,0.6,orange
A11,1,,0,1,announcement,prize,picture,0.6,orange
A11,1,0,0,1,announcement,prize,picture,0.6,orange
A11,3,0,0,1,announcement,prize,picture,0.6,orange
A11,1,1,1,5,announcement,prize,picture,0.6,orange
A11,1,0,0,1,announcement,prize,picture,0.6,orange
A11,3,0,0,1,announcement,prize,picture,0.6,orange
A11,1,1,1,5,announcement,prize,picture,0.6,orange
A11,1,,0,1,announcement,prize,picture,0.6,orange
