ad_id,IR,LT,DIR,WPR
0,229,114,2,1
1,239,119,2,1
2,201,67,3,1
3,332,55,6,2
4,342,171,2,1
5,227,75,3,1
6,281,46,6,2
7,214,26,8,3
8,234,117,2,1
9,348,43,8,3
10,263,65,4,2
11,328,54,6,2
12,324,108,3,1
13,351,175,2,1
14,268,53,5,2
15,396,49,8,3
16,315,157,2,1
17,341,85,4,2
18,339,169,2,1
19,280,56,5,2
20,262,29,9,3
21,392,98,4,2
22,341,113,3,1
23,400,200,2,1
24,307,61,5,2
25,360,180,2,1
26,364,121,3,1
27,264,37,7,3
28,364,121,3,1
29,272,136,2,1
30,321,160,2,1
31,282,94,3,1
32,266,133,2,1
33,353,88,4,2
34,211,105,2,1
35,318,79,4,2
36,260,23,11,4
37,284,94,3,1
38,277,138,2,1
39,201,33,6,3
40,213,106,2,1
41,219,73,3,1
42,350,87,4,2
43,364,60,6,2
44,323,40,8,4
45,294,58,5,2
46,241,120,2,1
47,261,52,5,2
48,321,64,5,2
49,208,34,6,2
50,328,54,6,2
51,328,109,3,1
52,364,60,6,2
53,372,124,3,1
54,298,149,2,1
55,207,51,4,2
56,390,97,4,2
57,348,69,5,2
58,251,41,6,2
59,205,68,3,1
