ad_id,IR,LT,DIR,WPR
0,200,22,9,2
1,285,47,6,3
2,215,30,7,1
3,310,51,6,1
4,383,95,4,1
5,273,68,4,3
6,229,28,8,1
7,226,32,7,3
8,245,24,10,1
9,205,22,9,1
10,216,36,6,1
11,281,56,5,1
12,397,99,4,1
13,228,76,3,1
14,208,41,5,2
15,284,71,4,2
16,250,83,3,1
17,273,30,9,1
18,302,30,10,2
19,330,41,8,3
20,263,87,3,3
21,230,57,4,1
22,280,70,4,1
23,306,61,5,1
24,317,31,10,2
25,225,22,10,1
26,392,98,4,4
27,279,27,10,2
28,303,151,2,2
29,212,35,6,3
30,200,40,5,1
31,234,78,3,1
32,397,99,4,3
33,245,49,5,2
34,238,39,6,3
35,306,38,8,2
36,239,59,4,2
37,336,112,3,1
38,276,39,7,1
39,200,22,9,3
40,302,37,8,4
41,308,51,6,1
42,398,132,3,1
43,379,126,3,1
44,298,74,4,2
45,303,37,8,2
46,322,80,4,1
47,247,30,8,1
48,238,59,4,2
49,338,67,5,1
50,216,54,4,1
51,291,32,9,1
52,230,76,3,2
53,314,62,5,1
54,328,164,2,1
55,331,41,8,2
56,373,93,4,3
57,289,144,2,3
58,320,80,4,2
59,307,153,2,2
